District,Building name,Last date of residence of the case(s),Related probable/confirmed cases
Yau Tsim Mong,ELEMENTS (non-residential),31/08/2020,"1715, 3057, 4011, 4077, 4569, 4845"
Yuen Long,Tung Yick Market (non-residential),31/08/2020,"2172, 3318, 3480, 4521, 4537, 4858"
Wan Chai,Hoi Shing Building (non-residential),31/08/2020,4828
Yau Tsim Mong,Hang Shing Building 363-373 Nathan Road (non-residential),31/08/2020,"4833, 4874"
Yau Tsim Mong,Wai Hing Building Tiffany Restaurant (non-residential),31/08/2020,4839
Yau Tsim Mong,MTR Kowloon Station McDonald's (non-residential),31/08/2020,4845
North,Cheung Wah Shopping Centre (non-residential),31/08/2020,4851
Yuen Long,Yuen Long Landmark Pizza Hut (non-residential),31/08/2020,4858
Yuen Long,+WOO Phase 2 Saizeriya Italian Restaurant (non-residential),31/08/2020,4875
Kowloon City,Ching Long Shopping Centre Golden Phoenix Restaurant (non-residential),31/08/2020,4889
Yau Tsim Mong,Tai Kok Tsui Municipal Service Building (non-residential),01/09/2020,"4159, 4185, 4839"
Wong Tai Sin,Chui King House Choi Hung Estate (non-residential),01/09/2020,4827
Yau Tsim Mong,Cité 33 (non-residential),01/09/2020,4827
Yau Tsim Mong,Honland Building Café de Coral (non-residential),01/09/2020,"4827, 4852"
Yau Tsim Mong,66 Reclamation Street (non-residential),01/09/2020,"4833, 4898"
Kwun Tong,MegaBox IKEA Restaurant (non-residential),01/09/2020,4841
Kwun Tong,Shun Lee Disciplined Services Quarters Tower 1 (non-residential),01/09/2020,4841
North,Flora Plaza (non-residential),01/09/2020,4851
Sha Tin,Enterprise Place (non-residential),01/09/2020,4852
Tsuen Wan,7 Chuen Lung Street (non-residential),01/09/2020,4880
Kowloon City,Ching Long Shopping Centre McDonald's (non-residential),01/09/2020,4889
Yau Tsim Mong,Langham Place (non-residential),02/09/2020,"1297, 1641, 2008, 2186, 3296, 3369, 3386, 3826, 4447, 4573, 4841"
Kwun Tong,Sau Mau Ping Shopping Centre (non-residential),02/09/2020,"1863, 1865, 1897, 2031, 2035, 2071, 2449, 2623, 2902, 4529, 4678, 4910"
Sham Shui Po,Po On Road Municipal Services Building (non-residential),02/09/2020,"2234, 2410, 2728, 2924, 3351, 3831, 3992, 4115, 4226, 4291, 4840"
Kwai Tsing,Block 8 Kwai Shing West Estate (non-residential),02/09/2020,4840
